Filename,Charges,Errors
Charges1621871820383.xml,252,0
Charges1621871820629.xml,251,0
Charges1621871820788.xml,235,0
Charges1621871820959.xml,167,0
Charges1621871821105.xml,185,0
Charges1621871821321.xml,185,0
Charges1621871821476.xml,168,0
Charges1621871821625.xml,95,0
Charges1621871821794.xml,206,0
Charges1621871821939.xml,319,0
Charges1621871822097.xml,272,0
Charges1621871822247.xml,246,0
Charges1621871822401.xml,202,0
Charges1621871822560.xml,192,0
Charges1621871822712.xml,164,0
Charges1621871822859.xml,118,0
Charges1621871823016.xml,180,0
Charges1621871823172.xml,206,0
Charges1621871823326.xml,149,0
Charges1621871823468.xml,245,0
Charges1621871823616.xml,182,0
Charges1621871823763.xml,383,0
Charges1621871823930.xml,155,0
Charges1621871824092.xml,262,0
Charges1621871824248.xml,243,0
Charges1621871824481.xml,58,0
Charges1621871824638.xml,148,0
Charges1621871824786.xml,248,0
Charges1621871824951.xml,152,0
Charges1621871825124.xml,366,0
Charges1621871825276.xml,167,0
Charges1621871825422.xml,196,0
Charges1621871825566.xml,180,0
Charges1621871825724.xml,271,0
Charges1621871825887.xml,315,0
Charges1621871826043.xml,232,0
Charges1621871826207.xml,84,0
Charges1621871826359.xml,208,0
Charges1621871826508.xml,131,0
Charges1621871826663.xml,115,0
Charges1621871826813.xml,213,0
Charges1621871826958.xml,9,0
Charges1621871827107.xml,91,0
Charges1621871827258.xml,175,0
Charges1621871827405.xml,94,0
Charges1621871827558.xml,145,0
Charges1621871827703.xml,292,0
Charges1621871827856.xml,198,0
Charges1621871828022.xml,284,0
Charges1621871828171.xml,256,0
Charges1621871828329.xml,201,0
Charges1621871828493.xml,172,0
Charges1621871829100.xml,182,0
Charges1621871829254.xml,196,0
Charges1621871829417.xml,181,0
Charges1621871829563.xml,41,0
Charges1621871829708.xml,196,0
Charges1621871829848.xml,34,0
Charges1621871829992.xml,150,0
Charges1621871830154.xml,238,0
Charges1621871830300.xml,352,0
Charges1621871830462.xml,144,0
Charges1621871830606.xml,166,0
Charges1621871830753.xml,185,0
Charges1621871830907.xml,310,0
Charges1621871831060.xml,231,0
Charges1621871831215.xml,160,0
Charges1621871831367.xml,388,0
Charges1621871831532.xml,152,0
Charges1621871831695.xml,191,0
Charges1621871831846.xml,117,0
Charges1621871831992.xml,148,0
Charges1621871832150.xml,406,0
Charges1621871832306.xml,139,0
Charges1621871832470.xml,144,0
Charges1621871832619.xml,117,0
Charges1621871832800.xml,383,0
Charges1621871832957.xml,138,0
Charges1621871833105.xml,168,0
Charges1621871833296.xml,527,0
Charges1621871833474.xml,139,0
Total,16186,0
