Filename,Charges,Errors
Charges1621869327179.xml,28,0
Charges1621869330351.xml,124,0
Charges1621869333446.xml,34,0
Charges1621869336615.xml,138,0
Charges1621869339800.xml,6,0
Charges1621869342886.xml,118,0
Charges1621869344505.xml,83,0
Charges1621869347643.xml,31,0
Charges1621869350739.xml,103,0
Charges1621869353860.xml,71,0
Charges1621869355475.xml,130,0
Charges1621869358555.xml,65,0
Charges1621869361633.xml,62,0
Charges1621869364729.xml,12,0
Charges1621869367810.xml,63,0
Charges1621869370896.xml,32,0
Charges1621869373985.xml,72,0
Charges1621869377067.xml,322,0
Charges1621869378694.xml,41,0
Charges1621869381778.xml,84,0
Charges1621869384868.xml,20,0
Charges1621869387945.xml,18,0
Charges1621869391022.xml,34,0
Charges1621869394105.xml,64,0
Charges1621869397183.xml,152,0
Charges1621869400267.xml,100,0
Charges1621869403350.xml,10,0
Charges1621869406449.xml,82,0
Charges1621869409525.xml,68,0
Charges1621869412606.xml,108,0
Charges1621869415686.xml,133,0
Charges1621869418829.xml,19,0
Charges1621869421913.xml,68,0
Charges1621869424989.xml,24,0
Charges1621869428081.xml,53,0
Charges1621869431155.xml,68,0
Charges1621869434252.xml,18,0
Charges1621869437355.xml,81,0
Charges1621869440434.xml,24,0
Charges1621869443515.xml,69,0
Charges1621869446596.xml,32,0
Charges1621869449680.xml,89,0
Charges1621869452800.xml,52,0
Charges1621869455883.xml,101,0
Charges1621869458967.xml,20,0
Charges1621869462068.xml,15,0
Charges1621869465147.xml,19,0
Charges1621869468236.xml,16,0
Charges1621869469876.xml,219,0
Charges1621869472958.xml,76,0
Charges1621869476034.xml,66,0
Charges1621869479112.xml,6,0
Charges1621869482217.xml,117,0
Charges1621869485314.xml,30,0
Charges1621869488393.xml,18,0
Charges1621869491469.xml,14,0
Charges1621869494551.xml,54,0
Charges1621869497670.xml,20,0
Charges1621869500753.xml,79,0
Charges1621869503891.xml,68,0
Charges1621869506981.xml,34,0
Charges1621869510057.xml,77,0
Charges1621869513239.xml,39,0
Charges1621869516314.xml,266,0
Charges1621869519402.xml,21,0
Charges1621869522490.xml,275,0
Charges1621869525589.xml,163,0
Charges1621869528671.xml,129,0
Charges1621869531779.xml,60,0
Charges1621869534866.xml,18,0
Charges1621869537949.xml,47,0
Charges1621869541031.xml,19,0
Charges1621869544123.xml,10,0
Charges1621869547222.xml,46,0
Charges1621869550323.xml,137,0
Charges1621869553429.xml,67,0
Charges1621869556518.xml,109,0
Charges1621869559628.xml,64,0
Charges1621869562717.xml,38,0
Charges1621869565819.xml,13,0
Charges1621869568919.xml,92,0
Charges1621869572001.xml,42,0
Charges1621869575111.xml,49,0
Charges1621869578199.xml,13,0
Charges1621869581276.xml,13,0
Charges1621869584364.xml,37,0
Charges1621869587447.xml,33,0
Charges1621869590597.xml,17,0
Charges1621869594001.xml,46,0
Charges1621869597087.xml,77,0
Charges1621869600194.xml,65,0
Charges1621869603279.xml,98,0
Charges1621869606364.xml,44,0
Charges1621869609442.xml,109,0
Charges1621869612525.xml,61,0
Charges1621869615624.xml,44,0
Charges1621869618733.xml,46,0
Total,6461,0
