Filename,Charges,Errors
Charges1621875001854.xml,47,0
Charges1621875002019.xml,38,0
Charges1621875002202.xml,39,0
Charges1621875002358.xml,35,0
Charges1621875002543.xml,10,0
Charges1621875002711.xml,26,0
Charges1621875002861.xml,37,0
Charges1621875003027.xml,38,0
Charges1621875003185.xml,232,0
Charges1621875003340.xml,86,0
Charges1621875003500.xml,77,0
Charges1621875003706.xml,92,0
Charges1621875003869.xml,152,0
Charges1621875004019.xml,110,0
Charges1621875004181.xml,34,0
Charges1621875004346.xml,70,0
Charges1621875004509.xml,38,0
Charges1621875004681.xml,124,0
Charges1621875004849.xml,23,0
Charges1621875005003.xml,44,0
Charges1621875005161.xml,18,0
Charges1621875005314.xml,63,0
Charges1621875005463.xml,94,0
Charges1621875005649.xml,31,0
Charges1621875005806.xml,38,0
Charges1621875005961.xml,78,0
Charges1621875006139.xml,116,0
Charges1621875006301.xml,91,0
Charges1621875006463.xml,35,0
Charges1621875006626.xml,26,0
Charges1621875006803.xml,111,0
Charges1621875006965.xml,62,0
Charges1621875007131.xml,58,0
Charges1621875007291.xml,10,0
Charges1621875007462.xml,199,0
Charges1621875007633.xml,43,0
Charges1621875007784.xml,31,0
Charges1621875007952.xml,25,0
Charges1621875008138.xml,25,0
Charges1621875008296.xml,127,0
Charges1621875008477.xml,19,0
Charges1621875008651.xml,33,0
Charges1621875008825.xml,167,0
Charges1621875008979.xml,17,0
Charges1621875009142.xml,101,0
Charges1621875009298.xml,35,0
Charges1621875009453.xml,32,0
Charges1621875009614.xml,75,0
Charges1621875009767.xml,36,0
Charges1621875009934.xml,84,0
Charges1621875010128.xml,33,0
Charges1621875010307.xml,76,0
Charges1621875010459.xml,95,0
Charges1621875010608.xml,37,0
Charges1621875010772.xml,8,0
Charges1621875010953.xml,16,0
Charges1621875011108.xml,58,0
Charges1621875011265.xml,19,0
Charges1621875011417.xml,28,0
Charges1621875011579.xml,67,0
Charges1621875011748.xml,58,0
Total,3727,0
