Filename,Charges,Errors
Charges1619196062050.xml,31,0
Charges1619196066348.xml,31,0
Charges1619196068514.xml,76,0
Charges1619196072662.xml,123,0
Charges1619196076795.xml,55,0
Charges1619196080909.xml,33,0
Charges1619196085068.xml,92,0
Charges1619196087212.xml,132,0
Charges1619196091338.xml,18,0
Charges1619196095476.xml,13,0
Charges1619196097602.xml,5,0
Charges1619196099782.xml,107,0
Charges1619196103910.xml,82,0
Charges1619196106062.xml,13,0
Charges1619196110197.xml,11,0
Charges1619196114330.xml,214,0
Charges1619196118483.xml,32,0
Charges1619196122630.xml,76,0
Charges1619196124772.xml,54,0
Charges1619196128896.xml,101,0
Charges1619196133057.xml,62,0
Charges1619196135204.xml,9,0
Charges1619196139335.xml,123,0
Charges1619196141482.xml,115,0
Charges1619196145615.xml,64,0
Charges1619196147778.xml,35,0
Charges1619196151920.xml,15,0
Charges1619196154068.xml,60,0
Charges1619196158205.xml,13,0
Charges1619196160367.xml,12,0
Charges1619196164487.xml,53,0
Charges1619196168617.xml,50,0
Charges1619196170760.xml,19,0
Charges1619196172907.xml,29,0
Charges1619196177034.xml,73,0
Charges1619196179168.xml,67,0
Charges1619196181338.xml,27,0
Charges1619196185470.xml,68,0
Charges1619196189593.xml,36,0
Charges1619196191773.xml,252,0
Charges1619196193940.xml,28,0
Charges1619196196081.xml,74,0
Charges1619196200233.xml,251,0
Charges1619196202388.xml,318,0
Charges1619196206515.xml,149,0
Charges1619196210672.xml,38,0
Charges1619196212825.xml,56,0
Charges1619196214995.xml,76,0
Charges1619196217140.xml,21,0
Charges1619196221282.xml,21,0
Charges1619196223422.xml,14,0
Charges1619196227561.xml,50,0
Charges1619196229694.xml,17,0
Charges1619196233828.xml,35,0
Charges1619196235975.xml,8,0
Charges1619196238142.xml,62,0
Charges1619196240302.xml,44,0
Charges1619196242444.xml,146,0
Charges1619196246577.xml,134,0
Charges1619196248736.xml,72,0
Charges1619196250890.xml,96,0
Charges1619196253042.xml,90,0
Charges1619196257160.xml,68,0
Charges1619196259290.xml,36,0
Charges1619196263449.xml,12,0
Charges1619196265593.xml,10,0
Charges1619196269721.xml,76,0
Charges1619196271905.xml,88,0
Charges1619196274071.xml,37,0
Charges1619196278188.xml,44,0
Charges1619196282341.xml,15,0
Charges1619196284510.xml,9,0
Charges1619196288642.xml,35,0
Charges1619196290772.xml,28,0
Charges1619196292912.xml,14,0
Charges1619196295068.xml,69,0
Charges1619196297220.xml,101,0
Charges1619196299369.xml,131,0
Charges1619196301519.xml,46,0
Charges1619196305666.xml,18,0
Charges1619196307831.xml,76,0
Charges1619196309969.xml,71,0
Charges1619196314114.xml,68,0
Charges1619196316270.xml,24,0
Charges1619196318414.xml,45,0
Charges1619196320571.xml,64,0
Charges1619196324706.xml,92,0
Charges1619196326835.xml,16,0
Charges1619196328970.xml,79,0
Charges1619196331103.xml,22,0
Charges1619196335225.xml,46,0
Charges1619196337360.xml,110,0
Charges1619196339517.xml,62,0
Charges1619196343658.xml,58,0
Charges1619196347786.xml,40,0
Charges1619196349917.xml,44,0
Total,6035,0
